         StudyID                     H                        E                      Mean                      Ie                      Type                     Scale                  Organism
           72                      0.098                    1.23                     3.16                    11.295                    Size                    Linear                    Plant
           73                       0.1                     0.72                      NA                      6.48                     Size                     Area                     Plant
           74                       0.1                     0.01                     144.7                    0.094                    Size                    Linear                   Mammal
           75                       0.1                    0.0066                    0.66                     0.059                    Size                    Linear                   Insect
           76                       0.1                     0.01                     82.06                    0.086                    Size                    Linear                    Bird
           77                       0.1                     0.324                    5.66                     2.916                    Size                    Linear                    Plant
           78                      0.107                    0.46                     10.27                    3.843                    Size                    Linear                    Plant
           79                      0.107                    1.682                    9.233                   14.039                    Size                    Linear                    Plant
           80                      0.108                    0.066                    0.665                    0.549                    Size                     Area                    Insect
           81                      0.109                    0.87                     0.834                    7.116                    Size                    Linear                    Plant
           82                      0.11                     0.029                    55.54                    0.236                    Size                    Linear                   Mammal
           83                      0.11                     0.31                      NA                      2.508                    Size                    Linear                    Plant
           84                      0.11                     0.92                    29.026                    7.441                    Size                    Linear                    Plant
           85                      0.11                     0.29                     44.37                    2.346                    Size                    Weight                   Mammal
           86                      0.115                    0.012                   18.772                    0.096                    Size                     Count                    Herp
           87                      0.12                     0.299                    7.71                     2.194                    Size                    Linear                    Plant
           88                      0.12                     0.259                    20.6                     1.901                    Size                    Linear                   Mammal
           89                      0.12                     1.725                    11.29                   12.647                    Size                    Linear                    Plant
           90                      0.12                     0.524                   540.97                    3.844                    Size                    Weight                   Insect
           91                      0.124                    0.062                    32.85                    0.439                    Size                    Weight                    Bird
           92                      0.126                     9.9                     0.72                    68.671                    Size                    Weight                    Plant
           93                      0.129                    0.012                   20.004                    0.083                    Size                     Count                    Herp
           94                      0.13                     0.018                    0.23                     0.124                    Size                    Linear                   Insect
           95                      0.132                     9.7                     0.23                    63.785                    Size                    Weight                    Plant
           96                      0.136                     9.7                     0.29                    61.624                    Size                    Weight                    Plant
           97                      0.138                    0.006                    78.12                    0.037                    Size                    Linear                    Bird
           98                      0.139                    0.038                    5.11                     0.237                    Size                    Linear                    Fish
           99                      0.14                     0.077                    1647                     0.471                    Size                    Weight                    Bird
           100                     0.147                    0.958                    29.47                    5.562                    Size                    Linear                    Plant
           101                     0.148                    0.016                    1.59                     0.091                    Size                    Linear                   Insect
           102                     0.15                     0.138                   1025.8                    0.784                    Size                    Weight                    Bird
           103                     0.15                     0.74                     2.58                     4.18                     Size                    Linear                    Plant
           104                     0.152                    0.071                    5.629                    0.396                    Size                    Linear                  Bryozoan
           105                     0.152                    2.207                   91.213                   12.312                    Size                    Weight                   Insect
           106                     0.157                      0                      22.9                       0                      Size                    Linear                    Plant
           107                     0.16                     0.123                    25.22                    0.643                    Size                    Linear                    Plant
           108                     0.16                     0.037                   153.41                    0.195                    Size                    Linear                   Mammal
           109                     0.16                     0.017                    80.41                    0.088                    Size                    Linear                    Bird
           110                     0.16                     0.017                    1.61                     0.087                    Size                    Linear                   Insect
           111                     0.16                     0.02                     104.5                    0.103                    Size                    Linear                    Bird
           112                     0.16                     0.415                     2.3                     2.177                    Size                    Weight                   Mammal
           113                     0.16                     0.941                    8.81                     4.94                     Size                    Weight                   Mammal
           114                     0.16                    0.0046                    2.09                     0.024                    Size                    Weight                    Plant
           115                     0.16                     1.644                     NA                      8.629                    Size                    Weight                    Plant
           116                     0.161                    0.238                    6.085                    1.237                    Size                     Count                    Herp
           117                     0.164                    0.158                    0.252                    0.807                    Size                    Linear                  Bryozoan
           118                     0.17                     0.034                   245.18                    0.164                    Size                    Linear                   Mammal
           119                     0.17                     0.01                     0.97                     0.048                    Size                    Linear                   Insect
           120                     0.17                     0.182                    60.17                    0.89                     Size                    Linear                    Plant
           121                     0.17                     0.049                    24.66                    0.241                    Size                    Linear                   Mammal
           122                     0.17                     0.023                    0.63                     0.11                     Size                    Linear                   Insect
           123                     0.179                    0.077                   18.573                    0.35                     Size                     Count                    Herp
           124                     0.18                     0.036                   120.04                    0.162                    Size                    Linear                   Mammal
           125                     0.18                     0.104                    71.54                    0.473                    Size                    Linear                   Mammal
           126                     0.18                     0.038                   239.06                    0.173                    Size                    Linear                   Mammal
           127                     0.18                     1.683                    1.85                     7.667                    Size                    Linear                    Plant
           128                     0.18                    0.0035                    39.2                     0.016                    Size                    Linear                    Plant
           129                     0.183                   18.882                    15.22                   84.297                    Size                     Count                    Plant
           130                     0.184                    1.452                     NA                      6.439                    Size                    Weight                    Plant
           131                     0.186                    0.024                    8.13                     0.106                    Size                    Linear                    Bird
           132                     0.19                     3.333                    36.97                   14.207                    Size                    Linear                    Plant
           133                     0.19                     0.15                      NA                      0.639                    Size                    Linear                    Plant
           134                     0.19                     6.36                      NA                     27.116                    Size                    Linear                   Insect
           135                     0.19                     0.077                    31.9                     0.326                    Size                    Linear                    Plant
           136                     0.19                     0.121                    6.08                     0.516                    Size                    Linear                   Insect
           137                     0.192                    1.836                     NA                      7.727                    Size                    Weight                    Plant
           138                     0.193                    0.687                    0.209                    2.864                    Size                    Linear                  Bryozoan
           139                     0.195                    0.187                    3.669                    0.774                    Size                    Linear                  Bryozoan
           140                     0.197                    0.147                    0.369                    0.599                    Size                    Linear                  Bryozoan
           141                      0.2                     0.016                    0.02                     0.063                    Size                     Area                    Insect
           142                      0.2                     0.33                      NA                      1.32                     Size                    Linear                    Plant
           143                      0.2                     0.017                    6.63                     0.07                     Size                    Linear                   Mammal
           144                      0.2                     0.05                    174.46                    0.201                    Size                    Linear                   Mammal
           145                      0.2                     0.032                    0.895                    0.127                    Size                    Linear                   Insect
           146                      0.2                     0.023                    0.87                     0.091                    Size                    Linear                   Insect
           147                      0.2                     2.136                    2.12                     8.544                    Size                    Volume                  Arachnid
           148                      0.2                     0.185                    49.19                    0.74                     Size                    Weight                   Mammal
           149                      0.2                     0.681                   516.02                    2.723                    Size                    Weight                   Insect
           150                     0.203                    7.919                    0.612                   31.089                    Size                    Volume                   Insect
           151                     0.21                     0.024                     211                     0.09                     Size                    Linear                   Mammal
           152                     0.21                     0.161                    0.366                    0.604                    Size                    Linear                   Insect
           153                     0.21                     0.012                    0.93                     0.043                    Size                    Weight                    Plant
           154                     0.213                    1.68                     21.08                    6.207                    Size                     Area                     Plant
           155                     0.213                    1.056                    23.04                    3.902                    Size                    Linear                    Plant
           156                     0.22                     3.835                     6.9                    13.598                    Size                     Count                    Plant
           157                     0.22                     0.108                    94.02                    0.381                    Size                    Linear                   Mammal
           158                     0.22                     0.34                      NA                      1.205                    Size                    Linear                    Plant
           159                     0.22                    0.0076                    1.04                     0.027                    Size                    Linear                   Insect
           160                     0.22                     8.573                     NA                     30.396                    Size                    Linear                   Insect
           161                     0.22                     0.03                      NA                      0.106                    Size                    Linear                   Insect
           162                     0.22                     0.549                    72.27                    1.947                    Size                    Weight                   Insect
           163                     0.22                      0.3                     5.715                    1.062                    Size                     Count                    Herp
           164                     0.227                    0.145                    4.335                    0.493                    Size                    Linear                  Bryozoan
           165                     0.229                    0.301                    120.3                    1.015                    Size                    Linear                    Fish
           166                     0.23                     0.812                   19.176                    2.724                    Size                  Transformed                 Plant
           167                     0.23                     0.432                    23.95                    1.445                    Size                    Weight                   Mammal
           168                     0.23                     0.27                     60.62                    0.905                    Size                    Weight                   Mammal
           169                     0.234                    1.498                     NA                      4.904                    Size                    Weight                    Plant
           170                     0.235                    1.828                     NA                      5.95                     Size                    Weight                    Plant
           171                     0.237                    0.065                    1.408                    0.21                     Size                    Linear                   Insect
           172                     0.237                    1.143                     NA                      3.679                    Size                    Weight                    Plant
           173                     0.24                     3.427                    93.5                    10.853                    Size                     Area                     Plant
           174                     0.24                     0.175                    25.01                    0.553                    Size                    Linear                    Plant
           175                     0.24                     0.097                    90.41                    0.308                    Size                    Linear                   Mammal
           176                     0.24                     0.078                    171.8                    0.248                    Size                    Linear                   Mammal
           177                     0.24                     0.28                      NA                      0.887                    Size                    Linear                    Plant
           178                     0.24                     0.98                      NA                      3.103                    Size                    Linear                    Plant
           179                     0.24                     0.023                    0.995                    0.071                    Size                    Linear                   Insect
           180                     0.24                     0.354                    19.16                    1.121                    Size                    Weight                   Mammal
           181                     0.25                     0.084                    160.3                    0.253                    Size                    Linear                   Mammal
           182                     0.25                     0.068                    55.51                    0.203                    Size                    Linear                   Mammal
           183                     0.25                     0.051                   170.56                    0.154                    Size                    Linear                   Mammal
           184                     0.25                     0.016                   479.93                    0.048                    Size                    Linear                    Bird
           185                     0.25                     0.578                    26.46                    1.733                    Size                    Weight                   Mammal
           186                     0.25                     0.723                    0.236                    2.168                    Size                    Weight                    Herp
           187                     0.256                    0.025                    8.21                     0.073                    Size                    Linear                    Bird
           188                     0.26                     0.037                   256.34                    0.106                    Size                    Linear                   Mammal
           189                     0.26                     0.25                      NA                      0.712                    Size                    Linear                    Plant
           190                     0.26                     1.71                      NA                      4.867                    Size                    Linear                    Plant
           191                     0.26                     0.066                   173.67                    0.189                    Size                    Linear                   Mammal
           192                     0.26                     0.192                    0.372                    0.548                    Size                    Linear                   Insect
           193                     0.26                     0.341                    711.9                    0.972                    Size                    Weight                    Bird
           194                     0.261                    0.351                    81.1                     0.993                    Size                    Linear                    Fish
           195                     0.261                    1.585                     NA                      4.488                    Size                    Weight                    Plant
           196                     0.262                    7.579                   18.577                   21.349                    Size                     Count                    Plant
           197                     0.262                   13.104                    1.724                   36.912                    Size                    Linear                    Plant
           198                     0.262                    1.994                     NA                      5.616                    Size                    Weight                    Plant
           199                     0.267                    0.872                    6.03                     2.395                    Size                    Linear                    Plant
           200                     0.267                    2.283                   20.237                    6.268                    Size                    Linear                    Plant
           201                     0.267                    0.245                    9.54                     0.672                    Size                    Weight                    Bird
           202                     0.27                     0.089                    67.94                    0.242                    Size                    Linear                   Mammal
           203                     0.27                     0.601                    10.89                    1.625                    Size                    Linear                    Plant
           204                     0.27                     0.48                      NA                      1.298                    Size                    Linear                    Plant
           205                     0.27                     2.113                    9.68                     5.713                    Size                    Linear                    Plant
           206                     0.27                     0.972                    2.22                     2.629                    Size                    Weight                   Mammal
           207                     0.27                     0.814                    13.62                     2.2                     Size                    Weight                   Insect
           208                     0.27                     0.148                    272.1                     0.4                     Size                    Weight                    Bird
           209                     0.274                    2.866                    9.317                    7.595                    Size                    Linear                    Plant
           210                     0.276                    0.317                    106.4                    0.831                    Size                    Linear                    Fish
           211                     0.276                    1.852                     NA                      4.859                    Size                    Weight                    Plant
           212                     0.28                     0.016                    0.03                     0.041                    Size                     Area                    Insect
           213                     0.28                     0.49                      NA                      1.26                     Size                    Linear                    Plant
           214                     0.28                     0.021                    0.29                     0.055                    Size                    Linear                   Insect
           215                     0.28                     0.146                    5.65                     0.375                    Size                    Linear                   Insect
           216                     0.28                     1.976                    4.98                     5.081                    Size                    Linear                    Plant
           217                     0.28                     4.719                    2.85                    12.134                    Size                    Linear                    Plant
           218                     0.28                     0.782                    0.113                    2.01                     Size                    Weight                   Mammal
           219                     0.28                     0.044                    18.7                     0.113                    Size                    Weight                   Mammal
           220                     0.282                    0.071                    0.84                     0.181                    Size                    Linear                  Bryozoan
           221                     0.283                    0.215                   52.438                    0.545                    Size                    Weight                   Mammal
           222                     0.29                     0.193                    3.61                     0.472                    Size                    Linear                    Plant
           223                     0.29                     0.05                    252.82                    0.122                    Size                    Linear                   Mammal
           224                     0.29                     8.632                     NA                     21.133                    Size                    Linear                   Insect
           225                     0.29                     0.073                    24.31                    0.178                    Size                    Linear                   Mammal
           226                     0.292                    0.086                    1.994                    0.208                    Size                    Linear                   Insect
           227                     0.293                    0.09                     31.9                     0.217                    Size                    Weight                    Bird
           228                     0.296                    0.97                      NA                      2.308                    Size                    Weight                    Plant
           229                     0.297                    0.988                    1.59                     2.339                    Size                    Linear                    Plant
           230                      0.3                    14.977                    50.9                    34.947                    Size                    Linear                    Plant
           231                      0.3                     0.115                    103.7                    0.268                    Size                    Linear                   Mammal
           232                      0.3                     0.063                    125.4                    0.147                    Size                    Linear                   Mammal
           233                      0.3                     0.31                      NA                      0.723                    Size                    Linear                    Plant
           234                      0.3                     0.017                    6.38                     0.041                    Size                    Linear                   Mammal
           235                      0.3                     0.023                    1.075                    0.054                    Size                    Linear                   Insect
           236                      0.3                     0.017                    0.71                     0.04                     Size                    Linear                   Insect
           237                      0.3                     0.022                    0.665                    0.05                     Size                    Linear                   Insect
           238                      0.3                     0.123                     1.2                     0.286                    Size                    Linear                    Herp
           239                      0.3                     0.251                   553.61                    0.586                    Size                    Weight                   Insect
           240                      0.3                     2.769                    91.11                    6.461                    Size                    Weight                   Insect
           241                      0.3                     2.869                    4.09                     6.695                    Size                    Weight                    Plant
           242                     0.303                    0.102                   18.745                    0.235                    Size                     Count                    Herp
           243                     0.305                    0.256                    0.684                    0.584                    Size                    Linear                  Bryozoan
           244                     0.306                    0.226                    5.292                    0.513                    Size                    Linear                  Bryozoan
           245                     0.308                    0.72                     22.99                    1.617                    Size                    Linear                    Plant
           246                     0.31                     0.04                    146.15                    0.09                     Size                    Linear                   Mammal
           247                     0.31                     0.055                   144.49                    0.122                    Size                    Linear                   Mammal
           248                     0.31                     0.066                   118.36                    0.147                    Size                    Linear                   Mammal
           249                     0.31                     0.03                      NA                      0.067                    Size                    Linear                   Insect
           250                     0.31                     0.03                     442.9                    0.067                    Size                    Linear                    Bird
           251                     0.31                     0.81                     14.66                    1.803                    Size                    Weight                   Insect
           252                     0.31                     0.297                    1720                     0.661                    Size                    Weight                    Bird
           253                     0.311                    0.623                   17.802                    1.378                    Size                  Transformed                 Plant
           254                     0.312                    0.053                    19.62                    0.117                    Size                    Linear                    Bird
           255                     0.313                    1.677                    8.819                    3.68                     Size                    Weight                   Insect
           256                     0.313                    0.439                   16.326                    0.964                    Size                  Transformed                 Plant
           257                     0.314                    2.938                     NA                      6.418                    Size                    Weight                    Plant
           258                     0.32                     0.078                     126                     0.167                    Size                    Linear                   Mammal
           259                     0.32                     0.05                    237.27                    0.107                    Size                    Linear                   Mammal
           260                     0.32                     0.074                   120.48                    0.158                    Size                    Linear                   Mammal
           261                     0.32                     1.46                      NA                      3.103                    Size                    Linear                    Plant
           262                     0.32                    16.201                     NA                     34.426                    Size                    Linear                   Insect
           263                     0.32                     0.203                    64.77                    0.43                     Size                    Weight                   Mammal
           264                     0.32                     0.383                   1025.8                    0.814                    Size                    Weight                    Bird
           265                     0.322                    0.06                     14.16                    0.126                    Size                    Linear                    Bird
           266                     0.325                    3.301                    0.541                    6.857                    Size                    Linear                    Plant
           267                     0.326                     1.7                      NA                      3.516                    Size                    Weight                    Plant
           268                     0.327                    0.014                    80.8                     0.029                    Size                    Linear                    Bird
           269                     0.329                    2.281                     NA                      4.653                    Size                    Weight                   Mammal
           270                     0.33                     0.891                    6.89                     1.809                    Size                    Linear                    Plant
           271                     0.33                     0.012                    0.41                     0.025                    Size                    Linear                   Insect
           272                     0.33                     0.17                     310.5                    0.345                    Size                    Weight                    Bird
           273                     0.333                    0.035                    8.202                    0.07                     Size                    Linear                    Bird
           274                     0.336                    0.354                    14.47                     0.7                     Size                    Weight                    Bird
           275                     0.339                    0.065                   20.486                    0.126                    Size                     Count                    Herp
           276                     0.34                     0.231                    81.9                     0.448                    Size                    Linear                   Mammal
           277                     0.34                     0.108                    67.61                    0.21                     Size                    Linear                   Mammal
           278                     0.34                     0.152                    79.51                    0.295                    Size                    Linear                   Mammal
           279                     0.34                     0.983                    18.41                    1.907                    Size                    Linear                    Plant
           280                     0.34                     0.047                    1.464                    0.09                     Size                    Linear                  Bryozoan
           281                     0.343                    0.054                   19.605                    0.103                    Size                    Linear                    Bird
           282                     0.347                    0.348                    2.69                     0.654                    Size                    Linear                    Herp
           283                     0.349                    0.451                    10.65                    0.842                    Size                    Weight                    Bird
           284                     0.35                     0.052                   188.11                    0.097                    Size                    Linear                   Mammal
           285                     0.35                     0.084                    172.5                    0.156                    Size                    Linear                   Mammal
           286                     0.35                     0.821                    11.29                    1.524                    Size                    Linear                    Plant
           287                     0.35                     0.014                    8.82                     0.027                    Size                    Linear                   Mammal
           288                     0.351                    4.227                     NA                      7.816                    Size                    Weight                    Plant
           289                     0.353                    0.117                   31.936                    0.214                    Size                    Weight                    Bird
           290                     0.359                    0.638                    9.02                     1.14                     Size                     Count                    Plant
           291                     0.36                     0.13                     70.86                    0.232                    Size                    Linear                   Mammal
           292                     0.36                     1.166                    5.69                     2.074                    Size                    Linear                    Plant
           293                     0.36                     0.036                    1.005                    0.064                    Size                    Linear                   Insect
           294                     0.362                    0.027                   77.999                    0.047                    Size                    Linear                    Bird
           295                     0.365                    0.166                   67.735                    0.288                    Size                    Weight                   Mammal
           296                     0.369                    0.359                    0.067                    0.613                    Size                     Area                    Insect
           297                     0.37                     0.041                    19.08                    0.07                     Size                    Linear                    Bird
           298                     0.37                     0.025                    1.005                    0.043                    Size                    Linear                   Insect
           299                     0.37                     0.117                    2.876                     0.2                     Size                    Linear                   Insect
           300                     0.374                    0.203                    0.326                    0.339                    Size                    Linear                   Insect
           301                     0.374                    4.537                     NA                      7.594                    Size                    Weight                    Plant
           302                     0.375                    3.233                     NA                      5.388                    Size                    Weight                    Plant
           303                     0.376                    1.68                     24.2                     2.787                    Size                    Linear                    Plant
           304                     0.376                    4.526                    5.676                    7.511                    Size                    Weight                   Insect
           305                     0.378                    0.061                    3.26                     0.101                    Size                    Linear                    Bird
           306                     0.38                     0.02                     1.725                    0.033                    Size                    Linear                   Insect
           307                     0.382                    0.029                    23.27                    0.047                    Size                    Linear                    Bird
           308                     0.39                     0.062                     112                     0.096                    Size                    Linear                   Mammal
           309                     0.39                     0.097                   158.33                    0.152                    Size                    Linear                   Mammal
           310                     0.39                     0.272                    84.05                    0.425                    Size                    Linear                   Mammal
           311                     0.39                     0.138                    84.79                    0.215                    Size                    Linear                   Mammal
           312                     0.39                     0.41                     54.47                    0.641                    Size                    Linear                   Mammal
           313                     0.39                     0.015                    15.61                    0.023                    Size                    Linear                   Mammal
           314                     0.39                     5.306                    11.3                     8.299                    Size                    Linear                   Mammal
           315                     0.39                     0.755                    55.4                     1.18                     Size                    Linear                    Bird
           316                     0.392                    0.687                    10.52                    1.066                    Size                    Linear                    Plant
           317                     0.394                    0.03                    172.422                   0.047                    Size                     Count                    Herp
           318                     0.396                    0.086                    4.14                     0.131                    Size                    Linear                    Bird
           319                     0.399                    0.064                   13.699                    0.096                    Size                    Linear                    Bird
           320                      0.4                     0.168                    71.16                    0.252                    Size                    Linear                   Mammal
           321                      0.4                     0.021                    1.71                     0.032                    Size                    Linear                   Insect
           322                      0.4                     0.024                    0.96                     0.036                    Size                    Linear                   Insect
           323                     0.401                    0.161                    15.08                    0.241                    Size                     Count                    Herp
           324                     0.403                    0.382                    8.365                    0.565                    Size                     Count                   Insect
           325                     0.41                     0.045                     248                     0.065                    Size                    Linear                   Mammal
           326                     0.41                     0.03                     0.68                     0.044                    Size                    Linear                   Insect
           327                     0.41                     5.139                    3.97                     7.396                    Size                    Volume                   Insect
           328                     0.41                     4.227                    3.64                     6.082                    Size                    Weight                    Plant
           329                     0.411                    0.038                    13.46                    0.055                    Size                    Linear                    Bird
           330                     0.411                   201.531                   0.28                    288.812                   Size                    Volume                  Arachnid
           331                     0.415                    0.893                    4.129                    1.259                    Size                     Count                    Plant
           332                     0.419                    0.374                    0.283                    0.518                    Size                    Linear                  Bryozoan
           333                     0.42                     0.068                   261.28                    0.094                    Size                    Linear                   Mammal
           334                     0.42                     0.059                   213.82                    0.081                    Size                    Linear                   Mammal
           335                     0.42                     0.033                    3.43                     0.045                    Size                    Linear                   Mammal
           336                     0.42                     1.214                    19.04                    1.676                    Size                    Linear                    Plant
           337                     0.42                     2.595                    31.55                    3.584                    Size                    Weight                   Insect
           338                     0.422                    0.154                    1.954                    0.211                    Size                    Linear                   Insect
           339                     0.423                    0.019                   80.488                    0.026                    Size                    Linear                    Bird
           340                     0.43                     0.094                   140.64                    0.124                    Size                    Linear                   Mammal
           341                     0.43                     0.067                    150.8                    0.088                    Size                    Linear                   Mammal
           342                     0.43                     0.303                    31.15                    0.401                    Size                    Linear                   Mammal
           343                     0.43                    13.148                     NA                     17.429                    Size                    Linear                   Insect
           344                     0.43                     0.091                    71.7                     0.121                    Size                    Linear                    Bird
           345                     0.434                    0.538                    0.299                    0.702                    Size                     Area                    Insect
           346                     0.438                    0.03                    151.728                   0.038                    Size                     Count                    Herp
           347                     0.44                     2.942                     NA                      3.744                    Size                     Count                    Plant
           348                     0.44                     0.09                    145.59                    0.114                    Size                    Linear                   Mammal
           349                     0.44                     0.075                   177.52                    0.095                    Size                    Linear                   Mammal
           350                     0.44                     0.084                   160.39                    0.107                    Size                    Linear                   Mammal
           351                     0.44                     0.093                    65.96                    0.118                    Size                    Linear                   Mammal
           352                     0.44                    11.979                     NA                     15.245                    Size                    Linear                   Insect
           353                     0.44                     0.052                    82.16                    0.067                    Size                    Linear                    Bird
           354                     0.44                     0.057                    82.9                     0.072                    Size                    Linear                    Bird
           355                     0.44                     2.877                    10.71                    3.662                    Size                    Linear                    Plant
           356                     0.44                    10.272                    89.95                   13.073                    Size                    Weight                   Insect
           357                     0.449                    0.116                   90.535                    0.142                    Size                     Count                    Herp
           358                     0.45                     0.118                     78                      0.145                    Size                    Linear                   Mammal
           359                     0.45                     0.08                    156.84                    0.098                    Size                    Linear                   Mammal
           360                     0.45                     0.45                     64.98                    0.549                    Size                    Linear                   Mammal
           361                     0.45                     0.35                      NA                      0.428                    Size                    Linear                    Plant
           362                     0.45                     0.029                    9.23                     0.036                    Size                    Linear                   Mammal
           363                     0.45                     0.199                   14.665                    0.242                    Size                     Count                    Herp
           364                     0.451                    7.355                    9.388                    8.953                    Size                    Linear                    Plant
           365                     0.452                    0.021                   156.277                   0.025                    Size                     Count                    Herp
           366                     0.454                    0.036                    51.42                    0.044                    Size                    Linear                    Bird
           367                     0.456                    0.067                   19.543                    0.08                     Size                    Linear                    Bird
           368                     0.456                    0.767                    387.3                    0.915                    Size                    Weight                   Insect
           369                     0.46                     0.078                     180                     0.092                    Size                    Linear                   Mammal
           370                     0.46                     0.049                    236.2                    0.058                    Size                    Linear                   Mammal
           371                     0.46                     0.038                    7.63                     0.044                    Size                    Linear                   Mammal
           372                     0.462                    0.54                     12.99                    0.629                    Size                    Linear                    Plant
           373                     0.462                    1.913                     NA                      2.227                    Size                    Weight                    Plant
           374                     0.469                    0.424                    5.93                     0.48                     Size                    Linear                    Plant
           375                     0.469                    0.057                    15.9                     0.065                    Size                    Linear                    Bird
           376                     0.469                    0.264                    9.73                     0.299                    Size                    Linear                   Insect
           377                     0.469                   163.265                   0.28                    184.848                   Size                    Volume                  Arachnid
